"total_internet_time","use_smartphone","use_laptop","use_tablet","use_desktop","use_wearables","is_in_school","is_employed","gender"
NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"female"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"female"
NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,NA,NA,NA,NA,NA,FALSE,TRUE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
22.5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"female"
NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"male"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"male"
NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"female"
NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"male"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"male"
32.5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
35,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"female"
NA,NA,NA,NA,NA,NA,FALSE,TRUE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"male"
37.5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"male"
NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"male"
NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
7.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
77.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"female"
52.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"female"
30,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"male"
NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
25,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"female"
7.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
22.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"male"
47.5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"female"
NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"female"
90,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"female"
10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"female"
NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"female"
110,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
60,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"female"
20,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
95,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"male"
47.5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
32.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
